case index 1 = {
los index, 0
num freq, 1298
num column, 15
Freq,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
[cm-1],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
3390, 0.0480792, 9.56876e-10, 1.74272e-11, 1.32815e-10, 2.32451e-12, 2.11898e-10, 2.38896e-10, 2.29767e-10, 1.56024e-09, 1.56445e-08, 2.39808e-06, 3.03491, 0.943702, 2.39808e-06, 283.44
3405, 0.101321, 1.06159e-09, 2.88092e-11, 2.63612e-10, 9.79806e-12, 3.16778e-10, 6.74695e-10, 6.5073e-10, 2.35528e-09, 4.44508e-08, 2.41683e-06, 2.28946, 0.943884, 2.41683e-06, 291.445
3420, 0.0361342, 9.04472e-10, 1.37628e-11, 8.85395e-11, 1.67958e-12, 2.13901e-10, 1.29873e-10, 1.2403e-10, 1.35223e-09, 8.49973e-09, 2.43551e-06, 3.32051, 0.944064, 2.43551e-06, 283.159
3435, 0.0151467, 7.82248e-10, 8.18058e-12, 3.49512e-11, 6.73629e-13, 1.65541e-10, 2.60766e-11, 2.40021e-11, 1.01767e-09, 1.65012e-09, 2.45287e-06, 4.18997, 0.944243, 2.45287e-06, 279.616
3450, 0.0170025, 6.85675e-10, 7.80831e-12, 3.69451e-11, 7.24703e-13, 1.60718e-10, 2.90632e-11, 2.68402e-11, 9.20934e-10, 1.85112e-09, 2.47271e-06, 4.07439, 0.94442, 2.47271e-06, 279.053
3465, 0.00539272, 5.41309e-10, 3.81452e-12, 1.10338e-11, 3.03472e-13, 1.17952e-10, 5.91399e-12, 5.28509e-12, 6.80327e-10, 3.65659e-10, 2.48845e-06, 5.22271, 0.944596, 2.48845e-06, 275.377
3480, 0.000981644, 3.82233e-10, 1.51497e-12, 1.89113e-12, 1.19771e-13, 8.23947e-11, 3.71693e-13, 2.64993e-13, 4.68525e-10, 1.83919e-11, 2.44725e-06, 6.92628, 0.94477, 2.44725e-06, 270.796
3495, 0.000711067, 3.27849e-10, 1.18262e-12, 1.28974e-12, 9.8809e-14, 7.65809e-11, 2.29607e-13, 1.57041e-13, 4.07231e-10, 1.09337e-11, 2.52644e-06, 7.24874, 0.944943, 2.52644e-06, 269.73
3510, 3.42829e-05, 2.06635e-10, 3.29241e-13, 5.85423e-14, 3.61823e-14, 5.65317e-11, 4.33726e-15, 1.02363e-15, 2.63595e-10, 7.14904e-14, 2.54919e-06, 10.2809, 0.945114, 2.54919e-06, 264.533
3525, 2.68679e-07, 1.28824e-10, 1.09858e-13, 4.31918e-16, 1.70445e-14, 4.41486e-11, 2.45663e-17, 0, 1.731e-10, 0, 2.56869e-06, 15.1297, 0.945284, 2.56869e-06, 259.767
